surname,forename,player_name,ssn,season,disam_name
Maher,Cyril,Cyril Maher,1936,1936/37,Maher
Mahon,Alan,Alan Mahon,1995,1995/96,Mahon
Mahon,Alan,Alan Mahon,1996,1996/97,Mahon
Major,Bill,Bill Major,1934,1934/35,Major
Major,Bill,Bill Major,1935,1935/36,Major
Major,Bill,Bill Major,1936,1936/37,Major
Malcolm,John,John Malcolm,1947,1947/48,Malcolm
Malkin,Chris,Chris Malkin,1987,1987/88,Malkin
Malkin,Chris,Chris Malkin,1988,1988/89,Malkin
Malkin,Chris,Chris Malkin,1989,1989/90,Malkin
Malkin,Chris,Chris Malkin,1990,1990/91,Malkin
Malkin,Chris,Chris Malkin,1991,1991/92,Malkin
Malkin,Chris,Chris Malkin,1992,1992/93,Malkin
Malkin,Chris,Chris Malkin,1993,1993/94,Malkin
Malkin,Chris,Chris Malkin,1994,1994/95,Malkin
Manning,John,John Manning,1962,1962/63,Manning
Manning,John,John Manning,1963,1963/64,Manning
Manning,John,John Manning,1964,1964/65,Manning
Manning,John,John Manning,1965,1965/66,Manning
Manning,John,John Manning,1966,1966/67,Manning
Manning,John,John Manning,1971,1971/72,Manning
Marquis,Fred,Fred Marquis,1925,1925/26,Marquis
Marquis,Fred,Fred Marquis,1926,1926/27,Marquis
Martin,Barrie,Barrie Martin,1965,1965/66,Martin
Martin,Barrie,Barrie Martin,1966,1966/67,Martin
Martin,Barrie,Barrie Martin,1967,1967/68,Martin
Martindale,Dave,Dave Martindale,1987,1987/88,Martindale
Martindale,Dave,Dave Martindale,1988,1988/89,Martindale
Martindale,Dave,Dave Martindale,1989,1989/90,Martindale
Martindale,Dave,Dave Martindale,1990,1990/91,Martindale
Martindale,Dave,Dave Martindale,1991,1991/92,Martindale
Martindale,Dave,Dave Martindale,1992,1992/93,Martindale
Martindale,Dave,Dave Martindale,1993,1993/94,Martindale
Mathias,Ray,Ray Mathias,1967,1967/68,Mathias
Mathias,Ray,Ray Mathias,1968,1968/69,Mathias
Mathias,Ray,Ray Mathias,1969,1969/70,Mathias
Mathias,Ray,Ray Mathias,1970,1970/71,Mathias
Mathias,Ray,Ray Mathias,1971,1971/72,Mathias
Mathias,Ray,Ray Mathias,1972,1972/73,Mathias
Mathias,Ray,Ray Mathias,1973,1973/74,Mathias
Mathias,Ray,Ray Mathias,1974,1974/75,Mathias
Mathias,Ray,Ray Mathias,1975,1975/76,Mathias
Mathias,Ray,Ray Mathias,1976,1976/77,Mathias
Mathias,Ray,Ray Mathias,1977,1977/78,Mathias
Mathias,Ray,Ray Mathias,1978,1978/79,Mathias
Mathias,Ray,Ray Mathias,1979,1979/80,Mathias
Mathias,Ray,Ray Mathias,1980,1980/81,Mathias
Mathias,Ray,Ray Mathias,1981,1981/82,Mathias
Mathias,Ray,Ray Mathias,1982,1982/83,Mathias
Mathias,Ray,Ray Mathias,1983,1983/84,Mathias
Mathias,Ray,Ray Mathias,1984,1984/85,Mathias
Matthews,Vince,Vince Matthews,1925,1925/26,Matthews
Matthews,Vince,Vince Matthews,1926,1926/27,Matthews
Mayson,John,John Mayson,1937,1937/38,Mayson
McAuley,Hughie,Hughie McAuley,1973,1973/74,McAuley
McAuley,Hughie,Hughie McAuley,1978,1978/79,McAuley
McBennett,Seamus,Seamus McBennett,1948,1948/49,McBennett
McBennett,Seamus,Seamus McBennett,1949,1949/50,McBennett
McBurney,Mike,Mike McBurney,1974,1974/75,McBurney
McCarrick,Mark,Mark McCarrick,1987,1987/88,McCarrick
McCarrick,Mark,Mark McCarrick,1988,1988/89,McCarrick
McCarrick,Mark,Mark McCarrick,1989,1989/90,McCarrick
McCarrick,Mark,Mark McCarrick,1990,1990/91,McCarrick
McDevitt,Kenny,Kenny McDevitt,1951,1951/52,McDevitt
McDevitt,Kenny,Kenny McDevitt,1952,1952/53,McDevitt
McDevitt,Kenny,Kenny McDevitt,1953,1953/54,McDevitt
McDevitt,Kenny,Kenny McDevitt,1954,1954/55,McDevitt
McDevitt,Kenny,Kenny McDevitt,1955,1955/56,McDevitt
McDevitt,Kenny,Kenny McDevitt,1956,1956/57,McDevitt
McDevitt,Kenny,Kenny McDevitt,1957,1957/58,McDevitt
McDevitt,Kenny,Kenny McDevitt,1958,1958/59,McDevitt
McDevitt,Kenny,Kenny McDevitt,1959,1959/60,McDevitt
McDonnell,Charlie,Charlie McDonnell,1957,1957/58,McDonnell
McDonnell,Charlie,Charlie McDonnell,1958,1958/59,McDonnell
McDonnell,Charlie,Charlie McDonnell,1959,1959/60,McDonnell
McDonnell,Charlie,Charlie McDonnell,1960,1960/61,McDonnell
McDonnell,Charlie,Charlie McDonnell,1963,1963/64,McDonnell
McDonnell,Charlie,Charlie McDonnell,1964,1964/65,McDonnell
McFarland,Roy,Roy McFarland,1966,1966/67,McFarland
McFarland,Roy,Roy McFarland,1967,1967/68,McFarland
McGrae,Joe,Joe McGrae,1925,1925/26,McGrae
McGreal,John,John McGreal,1991,1991/92,McGreal
McGreal,John,John McGreal,1992,1992/93,McGreal
McGreal,John,John McGreal,1993,1993/94,McGreal
McGreal,John,John McGreal,1994,1994/95,McGreal
McGreal,John,John McGreal,1995,1995/96,McGreal
McGreal,John,John McGreal,1996,1996/97,McGreal
McGugan,Jackie,Jackie McGugan,1960,1960/61,McGugan
McGugan,Jackie,Jackie McGugan,1961,1961/62,McGugan
McGuire,Reg,Reg McGuire,1982,1982/83,McGuire
McKay,James,James McKay,1949,1949/50,McKay
McKenna,Kenny,Kenny McKenna,1982,1982/83,McKenna
McKenna,Kenny,Kenny McKenna,1987,1987/88,McKenna
McKenna,Kenny,Kenny McKenna,1988,1988/89,McKenna
McLaren,Hugh,Hugh McLaren,1935,1935/36,McLaren
McLaren,Hugh,Hugh McLaren,1936,1936/37,McLaren
McLellan,Alistair,Alistair McLellan,1948,1948/49,McLellan
McMahon,John,John McMahon,1983,1983/84,McMahon
McManus,Eric,Eric McManus,1986,1986/87,McManus
McMullen,Ian,Ian McMullen,1984,1984/85,McMullen
McMurray,Tom,Tom McMurray,1932,1932/33,McMurray
McNab,Neil,Neil McNab,1989,1989/90,McNab
McNab,Neil,Neil McNab,1990,1990/91,McNab
McNab,Neil,Neil McNab,1991,1991/92,McNab
McNab,Neil,Neil McNab,1992,1992/93,McNab
McNamara,Dennis,Dennis McNamara,1954,1954/55,McNamara
McVicar,Don,Don McVicar,1985,1985/86,McVicar
Meacock,Bob,Bob Meacock,1933,1933/34,Meacock
Meacock,Bob,Bob Meacock,1934,1934/35,Meacock
Mercer,Joe,Joe Mercer,1921,1921/22,Mercer
Meston,Sammy,Sammy Meston,1929,1929/30,Meston
Meston,Sammy,Sammy Meston,1930,1930/31,Meston
Meston,Sammy,Sammy Meston,1931,1931/32,Meston
Miller,Alforth,Alforth Miller,1935,1935/36,Miller
Miller,Alforth,Alforth Miller,1936,1936/37,Miller
Miller,Dave,Dave Miller,1985,1985/86,Miller
Miller,William,William Miller,1938,1938/39,Miller
Millington,Ralph,Ralph Millington,1950,1950/51,Millington
Millington,Ralph,Ralph Millington,1951,1951/52,Millington
Millington,Ralph,Ralph Millington,1952,1952/53,Millington
Millington,Ralph,Ralph Millington,1953,1953/54,Millington
Millington,Ralph,Ralph Millington,1954,1954/55,Millington
Millington,Ralph,Ralph Millington,1955,1955/56,Millington
Millington,Ralph,Ralph Millington,1956,1956/57,Millington
Millington,Ralph,Ralph Millington,1957,1957/58,Millington
Millington,Ralph,Ralph Millington,1958,1958/59,Millington
Millington,Ralph,Ralph Millington,1959,1959/60,Millington
Millington,Ralph,Ralph Millington,1960,1960/61,Millington
Milner,Jimmy,Jimmy Milner,1962,1962/63,Milner
Milnes,Charles,Charles Milnes,1921,1921/22,Milnes
Mitchell,Barrie,Barrie Mitchell,1973,1973/74,Mitchell
Mitchell,Barrie,Barrie Mitchell,1974,1974/75,Mitchell
Mitchell,Barrie,Barrie Mitchell,1975,1975/76,Mitchell
Mitchell,Frank,Frank Mitchell,1923,1923/24,Mitchell
Mitchell,Frank,Frank Mitchell,1924,1924/25,Mitchell
Molyneux,Bernard,Bernard Molyneux,1956,1956/57,Molyneux
Molyneux,Fred,Fred Molyneux,1970,1970/71,Molyneux
Molyneux,Fred,Fred Molyneux,1971,1971/72,Molyneux
Molyneux,Fred,Fred Molyneux,1972,1972/73,Molyneux
Mooney,Kevin,Kevin Mooney,1982,1982/83,Mooney
Moorcroft,Dave,Dave Moorcroft,1968,1968/69,Moorcroft
Moorcroft,Dave,Dave Moorcroft,1969,1969/70,Moorcroft
Moorcroft,Dave,Dave Moorcroft,1970,1970/71,Moorcroft
Moorcroft,Dave,Dave Moorcroft,1971,1971/72,Moorcroft
Moore,Eric,Eric Moore,1957,1957/58,Moore
Moore,Malcolm,Malcolm Moore,1970,1970/71,Moore M
Moore,Malcolm,Malcolm Moore,1971,1971/72,Moore M
Moore,Malcolm,Malcolm Moore,1972,1972/73,Moore M
Moore,Patrick,Patrick Moore,1930,1930/31,Moore
Moore,Ronnie,Ronnie Moore,1971,1971/72,Moore R
Moore,Ronnie,Ronnie Moore,1972,1972/73,Moore
Moore,Ronnie,Ronnie Moore,1973,1973/74,Moore
Moore,Ronnie,Ronnie Moore,1974,1974/75,Moore
Moore,Ronnie,Ronnie Moore,1975,1975/76,Moore
Moore,Ronnie,Ronnie Moore,1976,1976/77,Moore
Moore,Ronnie,Ronnie Moore,1977,1977/78,Moore
Moore,Ronnie,Ronnie Moore,1978,1978/79,Moore
Moore,Ronnie,Ronnie Moore,1986,1986/87,Moore
Moore,Ronnie,Ronnie Moore,1987,1987/88,Moore
Moore,Ronnie,Ronnie Moore,1988,1988/89,Moore
Moorhouse,George,George Moorhouse,1921,1921/22,Moorhouse
Moreton,Jimmy,Jimmy Moreton,1921,1921/22,Moreton
Moreton,Jimmy,Jimmy Moreton,1922,1922/23,Moreton
Moreton,Jimmy,Jimmy Moreton,1923,1923/24,Moreton
Moreton,Jimmy,Jimmy Moreton,1924,1924/25,Moreton
Moreton,Jimmy,Jimmy Moreton,1925,1925/26,Moreton
Moreton,Jimmy,Jimmy Moreton,1926,1926/27,Moreton
Morgan,Alan,Alan Morgan,1995,1995/96,Morgan
Morgan,Alan,Alan Morgan,1996,1996/97,Morgan
Morley,Brian,Brian Morley,1981,1981/82,Morley
Morrissey,Johnny,Johnny Morrissey,1985,1985/86,Morrissey
Morrissey,Johnny,Johnny Morrissey,1986,1986/87,Morrissey
Morrissey,Johnny,Johnny Morrissey,1987,1987/88,Morrissey
Morrissey,Johnny,Johnny Morrissey,1988,1988/89,Morrissey
Morrissey,Johnny,Johnny Morrissey,1989,1989/90,Morrissey
Morrissey,Johnny,Johnny Morrissey,1990,1990/91,Morrissey
Morrissey,Johnny,Johnny Morrissey,1991,1991/92,Morrissey
Morrissey,Johnny,Johnny Morrissey,1992,1992/93,Morrissey
Morrissey,Johnny,Johnny Morrissey,1993,1993/94,Morrissey
Morrissey,Johnny,Johnny Morrissey,1994,1994/95,Morrissey
Morrissey,Johnny,Johnny Morrissey,1995,1995/96,Morrissey
Morrissey,Johnny,Johnny Morrissey,1996,1996/97,Morrissey
Mountfield,Derek,Derek Mountfield,1980,1980/81,Mountfield
Mountfield,Derek,Derek Mountfield,1981,1981/82,Mountfield
Muir,Ian,Ian Muir,1985,1985/86,Muir
Muir,Ian,Ian Muir,1986,1986/87,Muir
Muir,Ian,Ian Muir,1987,1987/88,Muir
Muir,Ian,Ian Muir,1988,1988/89,Muir
Muir,Ian,Ian Muir,1989,1989/90,Muir
Muir,Ian,Ian Muir,1990,1990/91,Muir
Muir,Ian,Ian Muir,1991,1991/92,Muir
Muir,Ian,Ian Muir,1992,1992/93,Muir
Muir,Ian,Ian Muir,1993,1993/94,Muir
Muir,Ian,Ian Muir,1994,1994/95,Muir
Mulkerrin,Jimmy,Jimmy Mulkerrin,1959,1959/60,Mulkerrin
Mulkerrin,Jimmy,Jimmy Mulkerrin,1960,1960/61,Mulkerrin
Mungall,Steve,Steve Mungall,1979,1979/80,Mungall
Mungall,Steve,Steve Mungall,1980,1980/81,Mungall
Mungall,Steve,Steve Mungall,1981,1981/82,Mungall
Mungall,Steve,Steve Mungall,1982,1982/83,Mungall
Mungall,Steve,Steve Mungall,1983,1983/84,Mungall
Mungall,Steve,Steve Mungall,1984,1984/85,Mungall
Mungall,Steve,Steve Mungall,1985,1985/86,Mungall
Mungall,Steve,Steve Mungall,1986,1986/87,Mungall
Mungall,Steve,Steve Mungall,1987,1987/88,Mungall
Mungall,Steve,Steve Mungall,1988,1988/89,Mungall
Mungall,Steve,Steve Mungall,1989,1989/90,Mungall
Mungall,Steve,Steve Mungall,1990,1990/91,Mungall
Mungall,Steve,Steve Mungall,1991,1991/92,Mungall
Mungall,Steve,Steve Mungall,1992,1992/93,Mungall
Mungall,Steve,Steve Mungall,1993,1993/94,Mungall
Mungall,Steve,Steve Mungall,1994,1994/95,Mungall
Mungall,Steve,Steve Mungall,1995,1995/96,Mungall
Murphy,Bill,Bill Murphy,1930,1930/31,Murphy
Murray,Eddie,Eddie Murray,1987,1987/88,Murray
Murray,Eddie,Eddie Murray,1988,1988/89,Murray
Murray,Tommy,Tommy Murray,1960,1960/61,Murray
Murray,Tommy,Tommy Murray,1961,1961/62,Murray
Mycock,Tom,Tom Mycock,1952,1952/53,Mycock
Mycock,Tom,Tom Mycock,1953,1953/54,Mycock
Naylor,Tommy,Tommy Naylor,1924,1924/25,Naylor
Naylor,Tommy,Tommy Naylor,1925,1925/26,Naylor
Naylor,Tommy,Tommy Naylor,1926,1926/27,Naylor
Naylor,Tommy,Tommy Naylor,1927,1927/28,Naylor
Naylor,Tommy,Tommy Naylor,1928,1928/29,Naylor
Naylor,Tommy,Tommy Naylor,1929,1929/30,Naylor
Naylor,Tommy,Tommy Naylor,1930,1930/31,Naylor
Neill,Tommy,Tommy Neill,1960,1960/61,Neill
Neill,Tommy,Tommy Neill,1961,1961/62,Neill
Neill,Tommy,Tommy Neill,1962,1962/63,Neill
Nevin,Pat,Pat Nevin,1991,1991/92,Nevin
Nevin,Pat,Pat Nevin,1992,1992/93,Nevin
Nevin,Pat,Pat Nevin,1993,1993/94,Nevin
Nevin,Pat,Pat Nevin,1994,1994/95,Nevin
Nevin,Pat,Pat Nevin,1995,1995/96,Nevin
Nevin,Pat,Pat Nevin,1996,1996/97,Nevin
Newton,Percy,Percy Newton,1934,1934/35,Newton
Newton,Percy,Percy Newton,1935,1935/36,Newton
Nightingale,David,David Nightingale,1946,1946/47,Nightingale
Niven,James,James Niven,1921,1921/22,Niven
Nixon,Eric,Eric Nixon,1987,1987/88,Nixon
Nixon,Eric,Eric Nixon,1988,1988/89,Nixon
Nixon,Eric,Eric Nixon,1989,1989/90,Nixon
Nixon,Eric,Eric Nixon,1990,1990/91,Nixon
Nixon,Eric,Eric Nixon,1991,1991/92,Nixon
Nixon,Eric,Eric Nixon,1992,1992/93,Nixon
Nixon,Eric,Eric Nixon,1993,1993/94,Nixon
Nixon,Eric,Eric Nixon,1994,1994/95,Nixon
Nixon,Eric,Eric Nixon,1995,1995/96,Nixon
Nixon,Eric,Eric Nixon,1996,1996/97,Nixon
Nolan,Ian,Ian Nolan,1991,1991/92,Nolan
Nolan,Ian,Ian Nolan,1992,1992/93,Nolan
Nolan,Ian,Ian Nolan,1993,1993/94,Nolan
O'Brien,Liam,Liam O'Brien,1993,1993/94,O'Brien
O'Brien,Liam,Liam O'Brien,1994,1994/95,O'Brien
O'Brien,Liam,Liam O'Brien,1995,1995/96,O'Brien
O'Brien,Liam,Liam O'Brien,1996,1996/97,O'Brien
O'Connor,John,John O'Connor,1927,1927/28,O'Connor
O'Neil,Tommy,Tommy O'Neil,1978,1978/79,O'Neil
O'Neil,Tommy,Tommy O'Neil,1979,1979/80,O'Neil
O'Rourke,Billy,Billy O'Rourke,1986,1986/87,O'Rourke
O'Rourke,Billy,Billy O'Rourke,1987,1987/88,O'Rourke
Obrey,Alf,Alf Obrey,1938,1938/39,Obrey
Oliver,Gavin,Gavin Oliver,1982,1982/83,Oliver
Onyeali,Elkanah,Elkanah Onyeali,1960,1960/61,Onyeali
Owen,Arthur,Arthur Owen,1936,1936/37,Owen
Owen,Arthur,Arthur Owen,1937,1937/38,Owen
Owen,Arthur,Arthur Owen,1938,1938/39,Owen
Owen,Billy,Billy Owen,1935,1935/36,Owen
Oxtoby,Dick,Dick Oxtoby,1963,1963/64,Oxtoby
Palios,Mark,Mark Palios,1973,1973/74,Palios
Palios,Mark,Mark Palios,1974,1974/75,Palios
Palios,Mark,Mark Palios,1975,1975/76,Palios
Palios,Mark,Mark Palios,1976,1976/77,Palios
Palios,Mark,Mark Palios,1977,1977/78,Palios
Palios,Mark,Mark Palios,1978,1978/79,Palios
Palios,Mark,Mark Palios,1979,1979/80,Palios
Palios,Mark,Mark Palios,1982,1982/83,Palios
Palios,Mark,Mark Palios,1983,1983/84,Palios
Palios,Mark,Mark Palios,1984,1984/85,Palios
Parnell,Frank,Frank Parnell,1955,1955/56,Parnell
Parnell,Frank,Frank Parnell,1956,1956/57,Parnell
Parnell,Roy,Roy Parnell,1964,1964/65,Parnell
Parnell,Roy,Roy Parnell,1965,1965/66,Parnell
Parnell,Roy,Roy Parnell,1966,1966/67,Parnell
Parry,Dave,Dave Parry,1967,1967/68,Parry
Parry,Les,Les Parry,1972,1972/73,Parry
Parry,Les,Les Parry,1973,1973/74,Parry
Parry,Les,Les Parry,1974,1974/75,Parry
Parry,Les,Les Parry,1975,1975/76,Parry
Parry,Les,Les Parry,1976,1976/77,Parry
Parry,Les,Les Parry,1977,1977/78,Parry
Parry,Les,Les Parry,1978,1978/79,Parry
Parry,Les,Les Parry,1979,1979/80,Parry
Parry,Les,Les Parry,1980,1980/81,Parry
Parry,Les,Les Parry,1981,1981/82,Parry
Parry,Les,Les Parry,1982,1982/83,Parry
Parry,Les,Les Parry,1983,1983/84,Parry
Payne,Albert,Albert Payne,1946,1946/47,Payne A
Payne,Albert,Albert Payne,1947,1947/48,Payne A
Payne,Albert,Albert Payne,1948,1948/49,Payne A
Payne,George,George Payne,1946,1946/47,Payne G
Payne,George,George Payne,1947,1947/48,Payne G
Payne,George,George Payne,1948,1948/49,Payne G
Payne,George,George Payne,1949,1949/50,Payne
Payne,George,George Payne,1950,1950/51,Payne
Payne,George,George Payne,1951,1951/52,Payne
Payne,George,George Payne,1952,1952/53,Payne
Payne,George,George Payne,1953,1953/54,Payne
Payne,George,George Payne,1954,1954/55,Payne
Payne,George,George Payne,1955,1955/56,Payne
Payne,George,George Payne,1956,1956/57,Payne
Payne,George,George Payne,1957,1957/58,Payne
Payne,George,George Payne,1958,1958/59,Payne
Payne,George,George Payne,1959,1959/60,Payne
Payne,George,George Payne,1960,1960/61,Payne
Pearson,Tich,Tich Pearson,1932,1932/33,Pearson
Pearson,Tich,Tich Pearson,1933,1933/34,Pearson
Pennington,James,James Pennington,1933,1933/34,Pennington
Peplow,Steve,Steve Peplow,1973,1973/74,Peplow
Peplow,Steve,Steve Peplow,1974,1974/75,Peplow
Peplow,Steve,Steve Peplow,1975,1975/76,Peplow
Peplow,Steve,Steve Peplow,1976,1976/77,Peplow
Peplow,Steve,Steve Peplow,1977,1977/78,Peplow
Peplow,Steve,Steve Peplow,1978,1978/79,Peplow
Peplow,Steve,Steve Peplow,1979,1979/80,Peplow
Peplow,Steve,Steve Peplow,1980,1980/81,Peplow
Perfect,Frank,Frank Perfect,1938,1938/39,Perfect
Phillips,Ernest,Ernest Phillips,1922,1922/23,Phillips
Philpotts,Dave,Dave Philpotts,1974,1974/75,Philpotts
Philpotts,Dave,Dave Philpotts,1975,1975/76,Philpotts
Philpotts,Dave,Dave Philpotts,1976,1976/77,Philpotts
Philpotts,Dave,Dave Philpotts,1977,1977/78,Philpotts
Philpotts,Dave,Dave Philpotts,1983,1983/84,Philpotts
Philpotts,Dave,Dave Philpotts,1984,1984/85,Philpotts
Philpotts,John,John Philpotts,1945,1945/46,Philpotts
Pike,Martin,Martin Pike,1989,1989/90,Pike
Platt,Dick,Dick Platt,1932,1932/33,Platt
Platt,Dick,Dick Platt,1933,1933/34,Platt
Platt,Dick,Dick Platt,1934,1934/35,Platt
Platt,Dick,Dick Platt,1935,1935/36,Platt
Platt,Dick,Dick Platt,1936,1936/37,Platt
Platt,John,John Platt,1984,1984/85,Platt
Pointon,Ray,Ray Pointon,1967,1967/68,Pointon
Pointon,Ray,Ray Pointon,1968,1968/69,Pointon
Pointon,Ray,Ray Pointon,1969,1969/70,Pointon
Pointon,Ray,Ray Pointon,1970,1970/71,Pointon
Pollard,James,James Pollard,1947,1947/48,Pollard
Pollard,James,James Pollard,1948,1948/49,Pollard
Poskett,Thomas,Thomas Poskett,1935,1935/36,Poskett
Poskett,Thomas,Thomas Poskett,1936,1936/37,Poskett
Postlewhite,Dennis,Dennis Postlewhite,1975,1975/76,Postlewhite
Postlewhite,Dennis,Dennis Postlewhite,1976,1976/77,Postlewhite
Postlewhite,Dennis,Dennis Postlewhite,1977,1977/78,Postlewhite
Postlewhite,Dennis,Dennis Postlewhite,1978,1978/79,Postlewhite
Postlewhite,Dennis,Dennis Postlewhite,1979,1979/80,Postlewhite
Powell,Neville,Neville Powell,1980,1980/81,Powell
Powell,Neville,Neville Powell,1981,1981/82,Powell
Powell,Neville,Neville Powell,1982,1982/83,Powell
Powell,Neville,Neville Powell,1983,1983/84,Powell
Powell,Neville,Neville Powell,1984,1984/85,Powell
Prentice,John,John Prentice,1921,1921/22,Prentice
Prescott,Frank,Frank Prescott,1946,1946/47,Prescott
Price,Ken,Ken Price,1960,1960/61,Price
Price,Walter,Walter Price,1946,1946/47,Price
Pritchard,Joe,Joe Pritchard,1962,1962/63,Pritchard
Pritchard,Joe,Joe Pritchard,1963,1963/64,Pritchard
Pritchard,Joe,Joe Pritchard,1964,1964/65,Pritchard
Pritchard,Joe,Joe Pritchard,1965,1965/66,Pritchard
Pritchard,Joe,Joe Pritchard,1966,1966/67,Pritchard
Pritchard,Joe,Joe Pritchard,1967,1967/68,Pritchard
Pritchard,Joe,Joe Pritchard,1968,1968/69,Pritchard
Pritchard,Joe,Joe Pritchard,1969,1969/70,Pritchard
Pritchard,Ray,Ray Pritchard,1972,1972/73,Pritchard
Pritchard,Ray,Ray Pritchard,1973,1973/74,Pritchard
Proctor,Mark,Mark Proctor,1992,1992/93,Proctor
Proctor,Mark,Mark Proctor,1993,1993/94,Proctor
Proctor,Mark,Mark Proctor,1994,1994/95,Proctor
Proctor,Norman,Norman Proctor,1925,1925/26,Proctor
Proctor,Norman,Norman Proctor,1926,1926/27,Proctor
Prosser,Neil,Neil Prosser,1982,1982/83,Prosser
Rainford,Billy,Billy Rainford,1921,1921/22,Rainford
Rainford,Billy,Billy Rainford,1922,1922/23,Rainford
Ratcliffe,Archie,Archie Ratcliffe,1922,1922/23,Ratcliffe
Rees,Peter,Peter Rees,1956,1956/57,Rees
Rice,Ron,Ron Rice,1946,1946/47,Rice
Richards,Ernest,Ernest Richards,1945,1945/46,Richards
Richards,Percy,Percy Richards,1928,1928/29,Richards
Ridding,Bill,Bill Ridding,1928,1928/29,Ridding
Ridding,Bill,Bill Ridding,1929,1929/30,Ridding
Ridding,Bill,Bill Ridding,1935,1935/36,Ridding
Ridgway,John,John Ridgway,1928,1928/29,Ridgway
Riley,Alan,Alan Riley,1945,1945/46,Riley
Rimmer,Ellis,Ellis Rimmer,1924,1924/25,Rimmer
Rimmer,Ellis,Ellis Rimmer,1925,1925/26,Rimmer
Rimmer,Ellis,Ellis Rimmer,1926,1926/27,Rimmer
Rimmer,Ellis,Ellis Rimmer,1927,1927/28,Rimmer
Roberts,Billy,Billy Roberts,1925,1925/26,Roberts
Roberts,Eddie,Eddie Roberts,1968,1968/69,Roberts
Roberts,Eddie,Eddie Roberts,1969,1969/70,Roberts
Roberts,Gerald,Gerald Roberts,1932,1932/33,Roberts
Roberts,James,James Roberts,1921,1921/22,Roberts
Roberts,Ronnie,Ronnie Roberts,1962,1962/63,Roberts
Roberts,Ronnie,Ronnie Roberts,1963,1963/64,Roberts
Robertson,Teddie,Teddie Robertson,1964,1964/65,Robertson
Robertson,Teddie,Teddie Robertson,1965,1965/66,Robertson
Robertson,Teddie,Teddie Robertson,1966,1966/67,Robertson
Robertson,Teddie,Teddie Robertson,1967,1967/68,Robertson
Robertson,Teddie,Teddie Robertson,1968,1968/69,Robertson
Robertson,William,William Robertson,1936,1936/37,Robertson
Robinson,Alfred,Alfred Robinson,1921,1921/22,Robinson A
Robinson,James,James Robinson,1922,1922/23,Robinson J
Robinson,James,James Robinson,1923,1923/24,Robinson J
Robinson,Liam,Liam Robinson,1985,1985/86,Robinson
Rodaway,Billy,Billy Rodaway,1984,1984/85,Rodaway
Rodaway,Billy,Billy Rodaway,1985,1985/86,Rodaway
Rogers,Alan,Alan Rogers,1995,1995/96,Rogers
Rogers,Alan,Alan Rogers,1996,1996/97,Rogers
Roper,William,William Roper,1932,1932/33,Roper
Roper,William,William Roper,1933,1933/34,Roper
Roper,William,William Roper,1934,1934/35,Roper
Rosenthal,Abe,Abe Rosenthal,1938,1938/39,Rosenthal
Rosenthal,Abe,Abe Rosenthal,1945,1945/46,Rosenthal
Rosenthal,Abe,Abe Rosenthal,1946,1946/47,Rosenthal
Rosenthal,Abe,Abe Rosenthal,1949,1949/50,Rosenthal
Rosenthal,Abe,Abe Rosenthal,1950,1950/51,Rosenthal
Rosenthal,Abe,Abe Rosenthal,1951,1951/52,Rosenthal
Rosenthal,Abe,Abe Rosenthal,1954,1954/55,Rosenthal
Rothwell,Peter,Peter Rothwell,1923,1923/24,Rothwell
Rothwell,Peter,Peter Rothwell,1924,1924/25,Rothwell
Rowe,Graham,Graham Rowe,1970,1970/71,Rowe
Rowland,John,John Rowland,1968,1968/69,Rowland
Rowles,Reginald,Reginald Rowles,1931,1931/32,Rowles
Rowley,Tony,Tony Rowley,1957,1957/58,Rowley
Rowley,Tony,Tony Rowley,1958,1958/59,Rowley
Rowley,Tony,Tony Rowley,1959,1959/60,Rowley
Rowley,Tony,Tony Rowley,1960,1960/61,Rowley
Roy,Jack,Jack Roy,1938,1938/39,Roy
Russell,Alex,Alex Russell,1971,1971/72,Russell
Russell,Alex,Alex Russell,1972,1972/73,Russell
Rutter,Edward,Edward Rutter,1924,1924/25,Rutter
Salmon,Len,Len Salmon,1946,1946/47,Salmon
Salmon,Len,Len Salmon,1947,1947/48,Salmon
Sayer,Stan,Stan Sayer,1922,1922/23,Sayer
Sayer,Stan,Stan Sayer,1923,1923/24,Sayer
Sayer,Stan,Stan Sayer,1924,1924/25,Sayer
Scott,George,George Scott,1968,1968/69,Scott
Scott,George,George Scott,1969,1969/70,Scott
Seasman,John,John Seasman,1972,1972/73,Seasman
Seasman,John,John Seasman,1973,1973/74,Seasman
Seasman,John,John Seasman,1974,1974/75,Seasman
Seddon,Ben,Ben Seddon,1973,1973/74,Seddon
Sewell,George,George Sewell,1922,1922/23,Sewell
Sharkey,Bernard,Bernard Sharkey,1922,1922/23,Sharkey
Sharp,Alex,Alex Sharp,1930,1930/31,Sharp
Shaw,Hugh,Hugh Shaw,1955,1955/56,Shaw
Shears,Bert,Bert Shears,1930,1930/31,Shears
Sherlock,Harold,Harold Sherlock,1936,1936/37,Sherlock
Shone,George,George Shone,1946,1946/47,Shone
Siddall,Barry,Barry Siddall,1985,1985/86,Siddall
Sille,Les,Les Sille,1948,1948/49,Sille
Sinclair,Nick,Nick Sinclair,1984,1984/85,Sinclair
Sinclair,Nick,Nick Sinclair,1985,1985/86,Sinclair
Sinclair,Roy,Roy Sinclair,1963,1963/64,Sinclair
Sinclair,Roy,Roy Sinclair,1964,1964/65,Sinclair
